2025-07-22T17:10:56.666733Z  INFO dora_cli::command::daemon: Starting dataflow `dataflow.yml`
2025-07-22T17:10:56.667062Z  INFO dora_core::descriptor::validate: skipping path check for node with build command
2025-07-22T17:10:56.667070Z  INFO dora_core::descriptor::validate: skipping path check for node with build command
2025-07-22T17:10:56.667075Z  INFO dora_core::descriptor::validate: skipping path check for node with build command
2025-07-22T17:10:56.667080Z  INFO dora_core::descriptor::validate: skipping path check for node with build command
2025-07-22T17:10:56.667770Z  INFO zenoh::net::runtime: Using ZID: ae2b5a8c35e2ebe6b62a227e2fcda4f3
2025-07-22T17:10:56.668262Z  INFO zenoh::net::runtime::orchestrator: Zenoh can be reached at: tcp/[fe80::6cd9:92ff:fe20:2a36]:38447
2025-07-22T17:10:56.668272Z  INFO zenoh::net::runtime::orchestrator: Zenoh can be reached at: tcp/10.89.0.2:38447
2025-07-22T17:10:56.668293Z  INFO zenoh::net::runtime::orchestrator: zenohd listening scout messages on 224.0.0.224:7446
2025-07-22T17:10:57.169277Z  INFO run_inner{[3mself.daemon_id[0m[2m=[0mDaemonId { machine_id: None, uuid: 7f2746a4-d2cc-4e11-9489-60c2fc4ccdbe }}: dora_daemon::log:    spawning build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("dora-record") target="daemon"
2025-07-22T17:10:57.169469Z  INFO run_inner{[3mself.daemon_id[0m[2m=[0mDaemonId { machine_id: None, uuid: 7f2746a4-d2cc-4e11-9489-60c2fc4ccdbe }}: dora_daemon::log:    spawning build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node") target="daemon"
2025-07-22T17:10:57.169617Z  INFO run_inner{[3mself.daemon_id[0m[2m=[0mDaemonId { machine_id: None, uuid: 7f2746a4-d2cc-4e11-9489-60c2fc4ccdbe }}: dora_daemon::log:    spawning build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink") target="daemon"
2025-07-22T17:10:57.169729Z  INFO run_inner{[3mself.daemon_id[0m[2m=[0mDaemonId { machine_id: None, uuid: 7f2746a4-d2cc-4e11-9489-60c2fc4ccdbe }}: dora_daemon::log:    spawning build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-status-node") target="daemon"
2025-07-22T17:10:57.169976Z  INFO dora_daemon::log:    spawning: /dora/target/debug/dora-record build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("dora-record") target="spawner"
2025-07-22T17:10:57.170198Z  INFO dora_daemon::log:    spawning: /dora/target/debug/rust-dataflow-example-node build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node") target="spawner"
2025-07-22T17:10:57.170365Z  INFO dora_daemon::log:    spawning: /dora/target/debug/rust-dataflow-example-sink build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink") target="spawner"
2025-07-22T17:10:57.170487Z  INFO dora_daemon::log:    spawning: /dora/target/debug/rust-dataflow-example-status-node build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-status-node") target="spawner"
2025-07-22T17:10:57.170600Z  INFO dora_daemon::log:    finished building nodes, spawning... build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=None target="dora daemon"
2025-07-22T17:10:57.171927Z  INFO dora_daemon::log:    hello build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.172265Z  INFO dora_daemon::log:    hello build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-status-node")
2025-07-22T17:10:57.173240Z  INFO run_inner{[3mself.daemon_id[0m[2m=[0mDaemonId { machine_id: None, uuid: 7f2746a4-d2cc-4e11-9489-60c2fc4ccdbe }}: dora_daemon::log:    node is ready build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node") target="daemon"
